#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
 103|133.040223  11.607751|1414.100| 238.319|22.001|0.203|20.306|0.067|17.964|0.032|   5.30|10.06| -10.35|15.59| 15|999.999|999.999
 104|132.929454  11.608032|3054.953| 242.976|14.824|0.006|14.089|0.001|13.260|0.006|  -1.25| 2.44|  -1.13| 2.50| 99|999.999|999.999
 105|132.942000  11.608212|2869.091| 245.596|22.826|1.128|20.967|0.133|20.034|0.999|  -1.19|14.70| -20.29|24.69| 16|999.999|999.999
 106|132.922943  11.608230|3151.412| 246.016|22.275|0.230|19.725|0.091|16.904|0.001|  28.98| 2.92|  10.29| 1.61|  0|999.999|999.999
 107|132.885263  11.608342|3709.625| 248.095|22.832|0.028|21.369|0.143|18.821|0.999|  34.99|25.35| -16.90|27.91|  2|999.999|999.999
 108|132.586747  11.608923|8131.517| 263.997|20.903|0.092|20.509|0.154|19.689|0.065|  12.14|13.63| -13.27|11.66|  4|999.999|999.999
 109|133.080435  11.609561| 818.483| 265.773|17.604|0.014|16.500|0.012|15.252|0.004|   2.38| 2.56|  -2.02| 3.15| 87|999.999|999.999
 110|132.875565  11.609466|3853.275| 265.214|21.271|0.230|20.586|0.029|19.832|0.026|  13.15|13.57|  -6.13|11.90| 10|999.999|999.999
 111|133.052950  11.609783|1225.573| 269.041|21.596|0.212|20.094|0.019|18.144|0.045|   5.35| 9.94| -10.65|15.17| 10|999.999|999.999
 112|132.899913  11.609912|3492.557| 271.671|22.685|0.526|20.290|0.084|18.005|0.091|   5.71|13.21|  -1.31|14.99| 31|999.999|999.999
 113|132.733985  11.610014|5950.668| 276.076|21.112|0.209|19.343|0.075|17.422|0.024| -15.77| 6.78| -14.64|10.23|  0|999.999|999.999
 114|132.998910  11.610692|2026.025| 282.805|21.859|0.999|21.445|0.320|19.402|0.999|  11.90|37.54| -17.43| 7.20| 23|999.999|999.999
 115|132.880863  11.610625|3774.771| 282.655|22.105|0.183|21.182|0.203|19.010|0.999|  12.91|18.74|   6.72|14.88| 30|999.999|999.999
