#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
 152|132.806574  11.618158|4875.171| 397.636|16.525|0.011|15.691|0.011|14.766|0.008|   9.52| 3.15| -21.66|18.62|  0|999.999|999.999
 153|132.940753  11.618352|2887.433| 398.870|22.869|0.999|21.291|0.442|19.402|0.999| -11.48|39.15| -21.48|36.47| 29|999.999|999.999
 154|132.650470  11.618346|7187.487| 404.304|17.139|0.012|16.119|0.002|15.043|0.002|   1.55| 2.02|  -2.56| 3.27| 91|999.999|999.999
 155|132.623481  11.618278|7587.210| 404.122|21.397|0.214|19.819|0.108|17.682|0.004|   8.57| 6.31|   6.72| 7.02|  9|999.999|999.999
 156|132.959086  11.618809|2615.859| 405.670|19.337|0.010|18.807|0.033|18.122|0.004|  15.83| 2.38|   9.46| 7.08|  0|999.999|999.999
 157|133.007679  11.619232|1896.053| 411.881|18.800|0.038|18.332|0.044|17.701|0.016|  19.28| 4.34|  -3.81| 3.21|  0|999.999|999.999
 158|132.862113  11.619173|4052.395| 412.106|19.739|0.086|18.997|0.074|18.078|0.061|  19.81|11.42|  12.73|16.72|  0|999.999|999.999
 159|132.864043  11.619252|4023.792| 413.264|21.523|0.999|22.443|0.290|99.999|0.999|  26.66| 8.87| -11.01|41.41| 10|999.999|999.999
 160|132.839596  11.619285|4385.963| 414.128|22.552|0.239|21.134|0.306|20.388|0.999| -21.90|28.38|  60.51|55.99|  0|999.999|999.999
 161|132.842290  11.619617|4346.038| 419.098|22.490|0.999|20.780|0.131|18.340|0.057|  -1.73|11.72|  -1.84|37.37| 51|999.999|999.999
 162|133.094924  11.619848| 603.857| 421.335|18.323|0.026|17.089|0.022|15.655|0.010|  14.22| 2.44|  -9.28| 5.18|  0|999.999|999.999
 163|132.584537  11.619627|8163.895| 425.866|18.767|0.018|17.241|0.017|15.517|0.015|  -1.96| 7.08|  -0.30| 5.12| 89|999.999|999.999
 164|132.893227  11.620215|3591.452| 427.467|21.363|0.234|19.824|0.100|17.292|0.051|  32.90| 5.59| -11.13| 8.15|  0|999.999|999.999
 165|132.979222  11.620500|2317.561| 431.122|22.144|0.393|21.401|0.322|18.705|0.999| -31.42|21.66|  21.36|27.73| 19|999.999|999.999
 166|132.829695  11.620735|4532.606| 436.196|24.001|2.470|22.463|0.300|99.999|0.999|   4.70| 4.82|  54.92|43.14| 10|999.999|999.999
 167|132.597540  11.620847|7971.292| 443.839|20.635|0.143|19.825|0.036|19.136|0.007|  23.56|12.08|   2.20|10.77|  0|999.999|999.999
 168|132.604720  11.621137|7864.961| 447.977|21.958|0.121|21.095|0.071|19.652|0.999|   5.77|36.95| -18.68| 5.12| 19|999.999|999.999
 169|132.627416  11.621573|7528.828| 453.796|18.621|0.011|18.021|0.038|17.334|0.008|  15.83| 5.24|   6.31| 3.63|  0|999.999|999.999
 170|132.605980  11.621647|7846.290| 455.639|21.194|0.264|20.537|0.152|19.613|0.141|  17.79| 8.27|   3.69|14.52|  4|999.999|999.999
 171|132.595846  11.621705|7996.349| 456.861|15.704|0.003|14.918|0.014|14.100|0.008|   0.77| 4.52|   0.54| 1.78| 98|999.999|999.999
 172|132.966988  11.622313|2498.757| 458.592|16.706|0.012|15.672|0.011|14.460|0.014|  -4.76| 8.92|  -3.93| 9.70| 35|999.999|999.999
 173|133.035350  11.622657|1486.168| 463.629|15.835|0.010|15.143|0.010|14.360|0.022|  15.59| 0.77|  -1.78| 1.31|  0|999.999|999.999
 174|132.861386  11.622929|4063.088| 468.887|21.754|0.548|20.987|0.087|20.132|0.085|  17.02|22.02| -11.25|34.81|  9|999.999|999.999
 175|132.555392  11.622541|8595.360| 470.989|99.999|0.999|17.134|0.005|99.999|0.999|  -2.38| 8.15|   4.52| 0.12| 65|999.999|999.999
 176|132.783797  11.623146|5212.474| 473.461|99.999|0.999|21.182|0.124|19.813|0.999|   1.01|17.25|  -8.75|33.56| 44|999.999|999.999
 177|132.885361  11.623679|3707.915| 479.918|19.471|0.027|17.941|0.001|16.268|0.003|   1.90| 3.03|   6.54| 5.06| 27|999.999|999.999
 178|132.668707  11.623327|6917.231| 479.035|20.102|0.070|18.473|0.021|16.618|0.027|  -4.46| 4.52|  -1.49| 5.71| 64|999.999|999.999
 179|132.782535  11.623593|5231.161| 480.245|21.019|0.095|19.204|0.044|16.849|0.001|   7.97| 7.74|  -5.18| 7.14|  6|999.999|999.999
 180|132.788973  11.623671|5135.789| 481.300|25.161|2.893|20.812|0.071|18.083|0.027| -21.84|33.62| -27.55|31.30|  1|999.999|999.999
 181|132.791294  11.624147|5101.404| 488.445|18.199|0.013|16.811|0.011|15.284|0.024|  17.14| 5.65| -24.57|16.42|  0|999.999|999.999
 182|132.664010  11.624042|6986.787| 489.977|18.965|0.012|18.265|0.022|17.436|0.010|   9.40| 5.65|   3.09| 0.83|  2|999.999|999.999
 183|133.014300  11.624782|1797.937| 495.765|21.037|0.176|20.090|0.050|19.339|0.021|  13.74| 6.78|   5.95| 6.01|  3|999.999|999.999
 184|133.026534  11.625316|1616.721| 503.818|15.358|0.005|14.601|0.006|13.782|0.006|   2.98| 2.26|   2.26| 2.32| 94|999.999|999.999
 185|133.083594  11.625935| 771.621| 513.301|21.964|0.190|21.198|0.328|19.980|0.054| -10.71|35.58|  -6.84|31.00| 51|999.999|999.999
 186|132.613912  11.625605|7728.690| 515.186|21.266|0.007|19.493|0.100|17.205|0.041|  12.55| 8.21|  -0.18| 8.03|  2|999.999|999.999
 187|132.567987  11.625907|8408.753| 521.379|21.068|0.999|20.019|0.041|18.231|0.024|  -5.59| 3.87| -16.12| 8.92|  3|999.999|999.999
 188|132.649174  11.626771|7206.436| 531.682|15.978|0.010|15.149|0.006|14.284|0.009|  -1.25| 2.32|   3.09| 3.57| 93| 31.891|  0.104
 189|133.052117  11.627361|1237.800| 534.762|19.162|0.017|17.724|0.040|16.083|0.001|   3.03| 2.98|   3.51| 3.39| 54|999.999|999.999
 190|132.824504  11.627239|4609.370| 534.590|18.827|0.019|17.464|0.016|15.980|0.003|  -3.27| 3.21|  -2.20| 7.97| 78|999.999|999.999
 191|132.995330  11.627693|2078.884| 539.806|22.039|0.162|22.106|0.160|99.999|0.999| -16.66|11.19|  35.40|50.16| 27|999.999|999.999
 192|132.627790  11.627238|7523.113| 539.411|17.644|0.015|16.763|0.014|15.804|0.005|   3.93| 2.38|   7.08| 1.73|  4|999.999|999.999
 193|132.830857  11.627844|4515.256| 543.638|21.838|0.049|20.623|0.096|19.133|0.052|  -1.37|19.87|   7.74|12.73| 43|999.999|999.999
 194|132.718016  11.627680|6186.776| 543.487|22.516|0.008|21.192|0.023|19.820|0.999|  42.60| 5.95|  50.52|16.07|  0|999.999|999.999
 195|132.608405  11.627494|7810.192| 543.923|21.454|0.273|21.414|0.238|20.567|0.999|  28.80|32.49|  18.74|12.97|  4|999.999|999.999
 196|132.556934  11.627332|8572.355| 543.335|99.999|0.999|17.221|0.001|16.577|0.007|   2.56| 5.41|  -6.49| 3.45| 15|999.999|999.999
 197|132.795980  11.627968|5031.902| 546.110|21.869|0.130|20.188|0.015|17.773|0.003|  -5.41| 5.24| -29.33|17.79|  0|999.999|999.999
 198|133.029102  11.628624|1578.664| 553.828|21.527|0.272|19.979|0.111|18.023|0.043|   5.00|16.42|   9.58| 9.76| 14|999.999|999.999
 199|132.782125  11.628508|5237.128| 554.543|21.185|0.122|20.327|0.246|19.598|0.098|  17.08|16.07|  14.22|22.49|  1|999.999|999.999
 200|133.056583  11.628910|1171.642| 558.173|19.748|0.019|18.838|0.033|17.786|0.011|  11.19| 7.91|   9.10| 1.67|  0|999.999|999.999
 201|132.878632  11.629215|3807.509| 563.682|20.594|0.027|19.768|0.069|18.823|0.016|  21.96| 2.74|   4.52|10.29|  0|999.999|999.999
 202|133.083906  11.629635| 766.978| 569.232|18.753|0.018|17.747|0.018|16.596|0.009|  12.91| 0.77|   7.56| 0.36|  0|999.999|999.999
 203|132.914298  11.630026|3279.164| 575.551|19.112|0.013|17.983|0.010|16.692|0.008|   7.20| 3.03|   7.14| 5.83|  1|999.999|999.999
 204|132.658465  11.629829|7068.746| 577.615|21.610|0.061|21.621|0.299|19.512|0.999|  29.87| 7.50|  14.04| 2.92| 10|999.999|999.999
 205|132.598091  11.629988|7962.844| 581.971|21.926|0.999|21.559|0.060|19.348|0.999|  -6.13|31.95|   6.96|23.03| 54|999.999|999.999
 206|133.049953  11.630723|1269.826| 585.579|19.425|0.007|18.800|0.019|16.982|0.020|   6.25| 2.80|  -4.05| 5.77| 16|999.999|999.999
 207|132.872091  11.630791|3904.382| 587.577|19.527|0.029|17.870|0.019|15.589|0.012|  -9.64| 3.99|  14.46| 5.12|  0|999.999|999.999
 208|132.851452  11.630979|4210.112| 590.696|22.049|0.109|21.008|0.313|18.812|0.012|  18.50|20.41| -10.53|16.48| 10|999.999|999.999
 209|133.070139  11.631144| 970.865| 591.980|22.272|0.530|21.024|0.135|20.255|0.135| -14.10|18.68|  26.36| 6.90| 10|999.999|999.999
 210|132.582253  11.630636|8197.341| 592.328|22.183|0.099|20.535|0.105|18.166|0.048|  -6.78| 7.56|   9.94|15.95| 38|999.999|999.999
 211|132.658406  11.631073|7069.577| 596.418|21.674|0.256|20.196|0.027|17.886|0.003|  16.84| 8.63|  -6.90|11.25|  2|999.999|999.999
 212|132.648337  11.631058|7218.704| 596.493|21.335|0.213|19.769|0.093|18.060|0.004|  23.68| 8.21|  -8.21| 8.87|  0|999.999|999.999
 213|132.775882  11.631725|5329.529| 603.298|20.978|0.076|20.419|0.013|19.768|0.025|  19.93| 9.22|  -2.32|10.17|  1|999.999|999.999
 214|132.733906  11.631934|5951.303| 607.393|21.366|0.046|20.422|0.218|19.789|0.211|  15.65|13.74|  32.90| 8.09|  0|999.999|999.999
 215|133.078963  11.632269| 840.175| 609.021|17.098|0.005|16.099|0.012|14.991|0.008|   2.38| 2.26|   2.68| 0.18| 87|999.999|999.999
 216|132.840075  11.632361|4378.612| 611.757|22.071|0.999|21.225|0.162|19.210|0.999|  10.12|26.12|  39.92|19.46|  2|999.999|999.999
 217|132.832423  11.632362|4491.968| 611.892|21.765|0.182|19.663|0.064|16.960|0.011|  -4.64|12.14| -13.92|11.48|  3|999.999|999.999
 218|133.031583  11.632557|1541.878| 613.270|21.196|0.999|21.609|0.179|19.443|0.999|   6.37|18.80| -19.28|13.15| 29|999.999|999.999
 219|132.893537  11.632623|3586.668| 615.019|13.715|0.009|13.100|0.008|12.425|0.005|   1.96| 1.31|   8.63| 3.03|  4| 33.906|  0.129
 220|132.712213  11.632495|6272.603| 616.413|21.846|0.425|21.573|0.095|20.678|0.999|   7.20|12.20|  -7.91|11.36| 39|999.999|999.999
 221|132.973631  11.633118|2400.240| 621.876|21.160|0.144|20.506|0.110|19.484|0.065|  19.16|14.88|  36.59|10.23|  0|999.999|999.999
 222|132.842568  11.633115|4341.676| 623.122|21.066|0.129|19.191|0.027|17.084|0.055|   0.71| 8.03|   0.42| 7.85| 55|999.999|999.999
 223|133.031672  11.633579|1540.549| 628.719|22.618|0.999|20.971|0.109|18.331|0.041| -14.58|20.59|   8.33| 6.78| 47|999.999|999.999
 224|132.808265  11.633730|4849.807| 632.988|21.952|0.999|20.945|0.114|18.571|0.001| -12.73|20.71|  -9.88|26.24| 41|999.999|999.999
 225|132.597809  11.634071|7966.883| 643.697|22.048|0.008|20.755|0.082|18.326|0.037|  16.96|13.03|  12.32|11.96|  8|999.999|999.999
 226|132.831700  11.634999|4502.630| 651.764|21.129|0.114|19.793|0.081|18.141|0.005|  -3.81|12.38|  -6.13| 3.03| 28|999.999|999.999
 227|133.050191  11.635326|1266.268| 655.150|22.179|0.999|20.643|0.241|17.301|0.016|  -0.24|14.93|  12.38|15.05| 37|999.999|999.999
 228|133.041216  11.635440|1399.187| 656.863|21.445|0.181|20.090|0.046|18.630|0.056|  21.84|12.61|  -9.94|10.41|  0|999.999|999.999
 229|132.922247  11.635590|3161.332| 659.588|17.351|0.008|16.407|0.004|15.394|0.009|  13.92| 2.38|   4.05| 1.37|  0|999.999|999.999
 230|132.735520  11.635618|5927.299| 663.040|14.682|0.012|14.042|0.007|13.353|0.007|  -4.64| 3.63|   4.28| 6.49| 54|999.999|999.999
 231|133.038599  11.635872|1437.938| 663.396|22.230|0.566|20.590|0.093|18.581|0.033|  25.64|20.94|  14.34| 7.68|  0|999.999|999.999
 232|132.823538  11.636134|4623.511| 669.059|20.042|0.030|18.450|0.007|16.629|0.033|  -2.98| 5.24|  -5.06| 8.27| 47|999.999|999.999
 233|132.620904  11.635926|7624.828| 670.949|14.288|0.005|13.668|0.004|13.019|0.008|   3.27| 1.84|   1.78| 2.92| 98|999.999|999.999
 234|132.931033  11.636431|3031.180| 672.231|99.999|0.999|21.147|0.332|19.810|0.999|  30.46|18.62|   8.92|18.92|  2|999.999|999.999
 235|133.041237  11.636719|1398.872| 676.200|18.586|0.004|17.686|0.004|16.718|0.009|   5.95| 3.03|  -2.86| 1.96| 18|999.999|999.999
 236|132.792850  11.636649|5078.087| 677.391|22.175|0.160|21.289|0.182|20.554|0.999|  10.00|34.69|   4.64| 3.39| 37|999.999|999.999
 237|132.775762  11.636700|5331.193| 678.502|22.319|0.237|20.285|0.039|18.076|0.104|   4.46|15.71|  -4.28|10.53| 30|999.999|999.999
 238|132.592582  11.636574|8044.197| 681.709|20.429|0.089|18.671|0.023|16.787|0.001|  -1.90| 4.58|   2.44| 1.90| 69|999.999|999.999
 239|132.855060  11.637836|4156.546| 694.300|15.929|0.012|15.139|0.009|14.284|0.019|   0.12| 1.55|   5.53| 3.45| 49|999.999|999.999
 240|133.102714  11.637960| 488.419| 695.169|20.526|0.106|18.710|0.045|16.451|0.038|   2.08| 9.70|  -6.72| 4.40| 25|999.999|999.999
 241|133.057717  11.638030|1154.786| 696.046|19.794|0.040|18.854|0.040|17.792|0.014|   2.56| 3.27|   5.35| 2.86| 39|999.999|999.999
 242|132.882998  11.638067|3742.698| 697.428|18.002|0.009|16.804|0.009|15.433|0.001|  13.63| 1.07|   9.76| 3.09|  0|999.999|999.999
 243|132.622733  11.637887|7597.684| 700.534|21.919|0.182|21.732|0.185|20.943|0.204|  27.43|50.69|  -3.45|48.37| 14|999.999|999.999
 244|132.912470  11.638502|3306.117| 703.695|21.933|0.289|19.836|0.084|17.608|0.054|   2.26| 7.97|   1.43| 5.53| 35|999.999|999.999
 245|133.100862  11.638923| 515.846| 709.714|21.305|0.142|19.838|0.036|18.087|0.009|  12.73| 4.94|  13.21| 4.34|  0|999.999|999.999
 246|133.002972  11.638987|1965.590| 710.508|20.353|0.053|18.619|0.026|16.719|0.004|   4.88| 8.21|   1.55| 3.63| 40|999.999|999.999
 247|132.945694  11.639385|2813.983| 716.765|21.068|0.151|19.112|0.047|16.676|0.039|  -7.44| 6.31|  19.10| 3.63|  0|999.999|999.999
 248|133.101201  11.639571| 510.821| 719.516|17.549|0.008|16.745|0.010|15.864|0.006|   4.58| 2.74|   5.30| 4.94| 13|999.999|999.999
 249|132.938150  11.639899|2925.718| 724.587|21.880|0.999|21.169|0.202|18.772|0.999|   4.70| 8.98|  -3.33|11.90| 46|999.999|999.999
 250|132.875839  11.640060|3848.701| 727.638|22.329|0.478|20.615|0.086|19.230|0.042|   4.11|13.74|  10.59|12.79| 29|999.999|999.999
 251|132.783422  11.640565|5217.646| 736.771|15.057|0.013|14.392|0.006|13.659|0.007|  -0.95| 3.69|  -6.66| 6.13| 31|999.999|999.999
 252|132.779996  11.640599|5268.404| 737.342|21.132|0.056|20.533|0.022|19.690|0.073|  -4.88|11.78|   4.34|12.91| 48|999.999|999.999
 253|132.958067  11.641069|2630.681| 742.147|99.999|0.999|21.243|0.151|19.254|0.999|   8.75| 4.76| -44.09| 8.15|  0|999.999|999.999
 254|133.072500  11.641368| 935.837| 746.543|17.636|0.008|16.413|0.014|15.044|0.011|   1.13| 1.31|  -0.71| 1.67| 94|999.999|999.999
 255|132.935649  11.641404|2962.739| 747.356|21.640|0.169|20.058|0.078|18.307|0.044|  -6.13|12.14|  10.29| 3.27| 22|999.999|999.999
 256|133.044056  11.641745|1357.078| 752.181|17.318|0.012|16.610|0.004|15.817|0.009|   1.78| 1.49|   3.81| 1.84| 76|999.999|999.999
 257|132.869220  11.642098|3946.723| 758.536|15.695|0.012|14.884|0.007|14.000|0.009|   3.45| 0.36|   2.86| 1.01| 78| 26.928|  0.131
 258|132.972720  11.642400|2413.632| 762.193|13.211|0.005|12.598|0.002|11.907|0.022|   9.28| 5.95|  -5.71|13.33|  0| 32.883|  0.071
 259|132.908952  11.642435|3358.171| 763.172|18.261|0.014|17.688|0.021|17.022|0.007|   9.82| 2.20|   3.03| 1.37|  0|999.999|999.999
 260|132.890239  11.642695|3635.364| 767.292|17.158|0.003|16.121|0.011|14.911|0.001|  -3.51| 0.89|   7.44| 1.13|  3|999.999|999.999
 261|132.826607  11.642763|4577.924| 769.206|21.705|0.140|19.810|0.044|17.241|0.019|  38.32| 9.52| -12.02| 8.87|  0|999.999|999.999
 262|132.725068  11.642702|6081.933| 770.368|99.999|0.999|21.446|0.163|19.761|0.999|  -6.25|28.20|   1.19|44.15| 57|999.999|999.999
 263|132.978440  11.643007|2328.906| 771.342|17.462|0.008|16.478|0.010|15.405|0.001|  18.56| 6.54| -11.96|11.66|  0|999.999|999.999
 264|132.945988  11.642989|2809.578| 771.247|22.390|0.368|20.595|0.072|18.043|0.038|  -3.03|11.30|   8.03|17.20| 44|999.999|999.999
 265|133.068626  11.643452| 993.203| 778.038|21.808|0.341|21.321|0.190|19.622|0.999|  -4.11|21.78|  43.02|25.82|  2|999.999|999.999
 266|132.860339  11.643584|4078.237| 781.101|14.212|0.006|13.601|0.006|12.939|0.007|  -0.24| 2.38|   0.18| 3.45|100| 33.392|  0.135
 267|132.828208  11.643743|4554.183| 783.995|22.429|0.999|20.891|0.035|18.405|0.007|  22.43| 7.56|  -1.84|16.30|  6|999.999|999.999
 268|132.877211  11.644232|3828.316| 790.690|22.055|0.999|20.713|0.137|18.420|0.999|  -6.96|12.44|   9.88| 7.79| 45|999.999|999.999
 269|133.040916  11.644307|1403.571| 790.899|99.999|0.999|21.427|0.186|19.097|0.999|   2.32|43.91|   7.56| 8.03| 49|999.999|999.999
 270|132.994179  11.644618|2095.775| 795.648|18.191|0.006|17.555|0.028|16.857|0.002|  12.20| 5.30|   4.11| 1.19|  0|999.999|999.999
 271|133.026229  11.644744|1621.078| 797.493|13.989|0.017|13.349|0.011|12.650|0.008|  -2.20| 1.78|  -1.78| 1.19| 99|999.999|999.999
 272|132.834370  11.645044|4462.885| 803.551|21.975|0.386|21.211|0.409|20.319|0.061|  -3.39|23.50| -11.90|16.12| 43|999.999|999.999
 273|132.648930  11.644833|7209.520| 804.688|22.196|0.327|20.519|0.074|17.935|0.083|  -7.20| 9.64|  -1.13|12.79| 47|999.999|999.999
 274|133.091517  11.645246| 654.206| 805.257|18.645|0.015|18.066|0.009|17.397|0.025|  10.17| 2.74|   1.07| 4.70|  1|999.999|999.999
 275|132.539975  11.644997|8822.825| 810.991|99.999|0.999|15.796|0.003|99.999|0.999|  -7.85| 4.94|   0.18| 4.64|  3|999.999|999.999
 276|132.536505  11.645177|8874.185| 813.854|99.999|0.999|18.566|0.023|99.999|0.999|   4.34| 6.01|  -8.75| 5.30|  2|999.999|999.999
 277|132.940772  11.645897|2886.794| 815.239|14.971|0.010|14.302|0.006|13.554|0.014|  23.68| 1.73|   5.53| 3.27|  0|999.999|999.999
 278|132.993344  11.646015|2108.122| 816.764|17.237|0.009|16.268|0.027|15.177|0.009|  12.44| 6.78|  -3.99| 1.13|  0|999.999|999.999
 279|132.932458  11.646318|3009.946| 821.670|20.136|0.049|18.501|0.031|16.503|0.029|   7.44| 2.74|   6.01| 3.45|  4|999.999|999.999
 280|132.788014  11.646357|5149.509| 824.226|19.817|0.061|19.204|0.039|18.528|0.015|  12.55| 4.58|   1.13| 5.12|  1|999.999|999.999
 281|133.039299  11.646600|1427.506| 825.563|15.801|0.004|14.968|0.006|14.120|0.008|  -0.54| 1.73|  -1.31| 1.90| 98| 33.614|  0.208
 282|132.792729  11.647287|5079.647| 838.187|17.108|0.006|16.452|0.009|15.710|0.002|   3.93| 2.50|  -8.39| 5.47|  0|999.999|999.999
 283|133.023932  11.647507|1655.077| 839.262|16.245|0.011|15.491|0.003|14.706|0.008|   3.63| 2.14|   1.49| 1.43| 83|999.999|999.999
 284|132.993826  11.647805|2100.968| 843.817|22.650|0.117|20.366|0.097|18.408|0.014|   0.71|15.41|  13.86|15.47| 19|999.999|999.999
 285|132.849450  11.647816|4239.462| 845.225|15.165|0.006|14.461|0.000|13.713|0.002|  -0.42| 1.78|  -2.80| 1.37| 98| 33.951|  0.133
 286|132.612377  11.647787|7750.725| 850.516|21.773|0.314|20.029|0.095|17.576|0.082|  12.14| 6.90|   6.19| 8.39|  5|999.999|999.999
 287|133.078302  11.648978| 849.876| 861.606|22.408|0.541|20.848|0.101|18.422|0.149|  -5.71|21.90|  22.07|20.17| 18|999.999|999.999
 288|132.900657  11.648980|3480.943| 862.184|14.494|0.013|13.857|0.004|13.160|0.005|   0.00| 0.77|   1.61| 2.44| 99| 32.796|  0.117
 289|132.620000  11.648521|7637.818| 861.351|20.048|0.087|19.543|0.061|18.981|0.001|  19.87| 9.28|  -0.65| 4.64|  0|999.999|999.999
 290|133.060994  11.649326|1106.189| 866.813|19.338|0.028|18.780|0.033|18.102|0.004|  11.19| 3.57|  -2.56| 5.06|  1|999.999|999.999
 291|132.937203  11.649712|2939.615| 872.932|14.090|0.010|13.478|0.009|12.807|0.018|   0.18| 1.13|   7.26| 3.03| 38| 32.478|  0.128
 292|132.858109  11.649631|4111.175| 872.538|18.554|0.014|17.850|0.009|17.039|0.006|   8.27| 3.09|  -1.90| 4.11|  4|999.999|999.999
 293|132.858541  11.649734|4104.771| 874.087|20.311|0.118|18.825|0.024|16.907|0.010|   6.54| 6.66|  -9.34| 5.65|  2|999.999|999.999
 294|132.757868  11.649559|5595.958| 873.242|99.999|0.999|21.693|0.074|20.047|0.999|   4.11|32.13|  32.01|30.76| 26|999.999|999.999
 295|133.092950  11.650319| 632.956| 881.940|18.820|0.034|17.420|0.018|15.868|0.017|  -0.42| 2.38|  -3.15| 2.98| 81|999.999|999.999
 296|132.911711  11.650538|3317.188| 885.632|17.538|0.009|16.584|0.010|15.538|0.007|  11.30| 0.54|   6.37| 2.14|  0|999.999|999.999
 297|132.983888  11.651152|2248.130| 894.438|14.764|0.003|14.090|0.007|13.365|0.004|   7.26| 6.96|  -6.66|10.83|  0|999.999|999.999
 298|132.974536  11.651346|2386.635| 897.406|15.130|0.000|14.435|0.003|13.679|0.005|   7.38| 4.64|  -6.90|13.63|  0|999.999|999.999
 299|132.805407  11.651516|4891.769| 901.881|20.992|0.075|20.242|0.019|19.209|0.028|   4.70|12.55|   8.03| 8.81| 24|999.999|999.999
 300|133.092604  11.651761| 638.080| 903.739|21.735|0.245|21.389|0.254|20.991|0.999|  15.29|12.02|  21.60|24.16| 15|999.999|999.999
 301|133.087289  11.651785| 716.790| 904.074|13.738|0.010|13.096|0.008|12.384|0.006|   0.00| 1.31|  -0.65| 1.49|100|999.999|999.999
 302|132.775096  11.652160|5340.717| 912.194|21.890|0.091|20.755|0.159|18.401|0.061|  17.79|15.89|   5.95|13.80| 10|999.999|999.999
 303|132.989601  11.652444|2163.495| 913.951|21.208|0.105|19.437|0.039|17.045|0.004|   7.56| 7.85| -27.25| 9.88|  0|999.999|999.999
 304|132.896119  11.652393|3548.108| 913.824|22.129|0.056|20.912|0.048|18.293|0.003|  16.24|14.10|  17.97|17.55|  8|999.999|999.999
 305|132.839869  11.652354|4381.290| 913.964|14.108|0.011|13.580|0.006|12.974|0.000|   3.03| 0.95|   3.03| 2.08| 96|999.999|999.999
 306|132.882097  11.652494|3755.807| 915.516|21.921|0.999|20.779|0.150|18.779|0.071| -14.16|26.78|   6.43|13.80| 43|999.999|999.999
 307|132.827723  11.652663|4561.205| 918.827|21.622|0.353|20.980|0.163|18.581|0.999|   6.60|11.25|  13.15|17.37| 32|999.999|999.999
 308|132.840832  11.652754|4367.028| 920.000|20.158|0.070|18.513|0.021|16.505|0.065| -11.30|11.42|  -4.52| 3.45|  2|999.999|999.999
 309|132.634428  11.652881|7424.029| 926.783|20.341|0.045|19.104|0.038|17.740|0.020|   7.26| 5.77|   4.34| 6.13| 12|999.999|999.999
 310|132.957408  11.653329|2640.298| 927.479|22.464|0.999|20.897|0.041|18.443|0.021|   9.16| 9.88|  10.35| 8.87| 28|999.999|999.999
 311|132.983491  11.653820|2253.978| 934.774|15.257|0.003|14.561|0.040|13.761|0.007|   6.43| 5.59|  -5.89|11.90|  0|999.999|999.999
 312|133.055832  11.653849|1182.599| 935.163|19.950|0.031|18.205|0.024|16.127|0.016|  -0.54| 3.63|   0.83| 3.69| 78|999.999|999.999
 313|132.846617  11.654130|4281.318| 940.719|15.637|0.008|14.878|0.032|14.044|0.005|  -1.55| 1.25|  -0.95| 2.02| 98| 33.083|  0.098
 314|132.828230  11.654115|4553.655| 940.765|22.278|0.223|20.254|0.088|17.930|0.064|   5.12|17.97|   0.36|10.35| 32|999.999|999.999
 315|132.575619  11.653695|8294.802| 941.101|21.357|0.999|21.320|0.191|19.291|0.999|  -6.66| 7.02|  -3.81|55.57| 55|999.999|999.999
 316|132.780176  11.654200|5265.425| 942.924|22.520|0.999|21.321|0.322|19.197|0.999|  49.50|27.31|  37.90|39.69|  0|999.999|999.999
 317|132.885268  11.654872|3708.791| 951.427|19.920|0.060|18.127|0.022|16.069|0.006|  13.21| 2.86|   1.01| 4.11|  0|999.999|999.999
 318|132.534288  11.654312|8906.685| 952.012|99.999|0.999|17.014|0.003|99.999|0.999|  -3.39| 4.46|   6.01| 5.83| 21|999.999|999.999
 319|132.656782  11.654692|7092.947| 953.466|19.415|0.062|18.864|0.030|18.230|0.028|   9.88| 1.73|   0.71| 1.78|  4|999.999|999.999
 320|132.883925  11.655666|3728.678| 963.438|21.204|0.050|21.005|0.126|20.258|0.051|  16.24| 8.98|   9.46|29.81| 14|999.999|999.999
 321|132.652035  11.655631|7163.210| 967.803|21.468|0.254|20.763|0.182|19.554|0.094|   6.25|18.98| -16.66| 6.96| 12|999.999|999.999
 322|132.954761  11.656097|2679.475| 969.325|20.777|0.066|20.269|0.131|19.354|0.059|   5.24|11.30|  14.99| 7.08|  8|999.999|999.999
 323|132.748993  11.656192|5727.246| 973.696|13.982|0.008|12.895|0.007|11.696|0.003|   1.49| 2.32|  -9.22| 2.32|  3|-20.055|  0.134
 324|132.884148  11.656432|3725.364| 975.011|21.566|0.019|21.070|0.282|20.318|0.999|  25.88|21.30| -13.86|11.54|  2|999.999|999.999
 325|132.578737  11.655934|8248.563| 974.838|18.629|0.013|17.847|0.012|17.035|0.014|   1.19| 2.02|   0.95| 3.87| 80|999.999|999.999
 326|132.970075  11.656713|2452.647| 978.556|22.028|0.539|20.949|0.224|20.167|0.261|  52.48| 5.53|  14.22|17.61|  0|999.999|999.999
 327|132.900252  11.656948|3486.820| 982.634|21.522|0.102|20.600|0.122|18.476|0.035|  -3.87| 1.78|  10.47| 9.28| 39|999.999|999.999
